State,University/College ,Campus,"Student
enrollment1","Violent
crime","Murder and
nonnegligent
manslaughter",Rape,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
ALABAMA,Alabama A&M University,,"6,627",8,0,1,0,7,51,8,43,0,0
ALABAMA,Alabama State University,,"4,255",1,0,0,1,0,31,8,22,1,0
ALABAMA,Auburn University,Montgomery,"6,464",1,0,0,0,1,39,1,38,0,0
ALABAMA,Chattahoochee Valley Community College,,"2,283",0,0,0,0,0,1,0,1,0,0
ALABAMA,Enterprise State Community College,,"2,840",0,0,0,0,0,8,0,8,0,0
ALABAMA,Faulkner University,,"3,456",0,0,0,0,0,4,0,4,0,0
ALABAMA,Jacksonville State University,,"11,071",1,0,0,0,1,30,0,29,1,0
ALABAMA,Lurleen B. Wallace Community College,,"2,687",0,0,0,0,0,1,0,1,0,0
ALABAMA,Marion Military Institute,,338,1,0,1,0,0,3,1,2,0,0
ALABAMA,Snead State Community College,,"6,445",1,0,1,0,0,3,1,2,0,0
ALABAMA,Southern Union State Community College,,"6,109",0,0,0,0,0,2,0,1,1,0
ALABAMA,Troy University,,"17,868",1,0,1,0,0,23,1,21,1,0
ALABAMA,University of Alabama,Birmingham,"25,357",44,0,4,4,36,375,17,336,22,0
ALABAMA,University of Alabama,Huntsville,"10,515",0,0,0,0,0,34,1,32,1,0
ALABAMA,University of Alabama,Tuscaloosa,"42,869",15,0,3,4,8,236,31,202,3,0
ALABAMA,University of Montevallo,,"2,935",0,0,0,0,0,1,1,0,0,0
ALABAMA,University of North Alabama,,"12,159",3,0,2,0,1,25,1,21,3,0
ALABAMA,University of South Alabama,,"15,488",9,0,2,1,6,79,7,67,5,0
ALABAMA,University of West Alabama,,"8,933",0,0,0,0,0,25,1,23,1,0
ALABAMA,Wallace State Community College,,"8,169",0,0,0,0,0,4,1,3,0,0
ALASKA,University of Alaska,Anchorage,"17,352",10,0,4,3,3,42,9,30,3,2
ALASKA,University of Alaska,Fairbanks,"10,975",2,0,1,0,1,30,1,28,1,0
ARIZONA,Arizona State University,Main Campus,"178,182",59,0,13,6,40,716,35,653,28,4
ARIZONA,Arizona Western College,,"12,066",1,0,0,0,1,2,0,2,0,0
ARIZONA,Central Arizona College,,"7,853",0,0,0,0,0,5,1,4,0,0
ARIZONA,Maricopa Community College2,,,5,0,0,0,5,73,13,57,3,0
ARIZONA,Northern Arizona University,,"31,245",15,0,5,1,9,209,14,117,78,3
ARIZONA,Pima Community College,,"31,792",1,0,0,0,1,41,2,39,0,0
ARKANSAS,Arkansas State University,Beebe,"3,865",0,0,0,0,0,2,0,2,0,0
ARKANSAS,Arkansas State University,Jonesboro,"18,471",6,0,2,1,3,54,4,49,1,0
ARKANSAS,Arkansas Tech University,,"10,600",3,0,1,0,2,30,4,25,1,0
ARKANSAS,Henderson State University,,"2,963",1,0,1,0,0,22,0,22,0,0
ARKANSAS,Northwest Arkansas Community College,,"10,832",0,0,0,0,0,0,0,0,0,0
ARKANSAS,Southern Arkansas University,,"6,037",4,0,4,0,0,15,2,13,0,0
ARKANSAS,Southern Arkansas University Tech,,"1,437",1,0,0,0,1,0,0,0,0,0
